,보증금,월세
1,5000,500
2,2500,250
3,1000,90
4,1000,125
5,2000,180
6,1500,60
7,2000,120
8,2000,120
9,20000,1500
10,1000,100
11,2000,200
12,2000,130
13,2500,145
14,2000,200
15,20000,1400
16,20000,1500
17,10000,700
18,3000,210
19,2000,110
20,3000,230
21,20000,1500
22,20000,1000
23,3000,200
24,30000,2000
25,4000,320
26,6000,250
27,1000,100
28,20000,1400
29,1000,125
30,9500,730
31,500,80
32,20000,1500
33,7000,400
34,10000,900
35,2000,180
36,20000,1500
37,2000,150
38,4000,250
39,3000,200
40,5000,300
41,7000,330
42,3000,190
43,2000,150
44,5000,300
45,20000,1500
46,2000,150
47,3000,230
48,2000,150
49,3000,190
50,2000,190
51,1000,60
52,3000,260
53,7000,400
54,1500,130
55,2000,150
56,3000,190
57,1000,100
58,10000,900
59,3000,265
60,1500,130
61,20000,1500
62,3000,260
63,1000,100
64,4000,300
65,3000,260
66,2500,250
67,2000,120
68,5000,350
69,7000,400
70,3000,230
71,3000,230
72,3000,190
73,5000,200
74,7000,350
75,7000,240
76,5000,460
77,3000,200
78,5000,300
79,1000,100
80,2000,60
81,1000,125
82,2500,250
83,20000,1400
84,20000,1500
85,20000,1500
86,3000,260
87,3000,200
88,2500,250
89,5000,500
90,5000,330
91,20000,1400
92,3000,200
93,2000,120
94,2000,110
95,3000,260
96,1000,100
97,1000,100
98,1000,100
99,20000,1500
100,1000,140
101,3000,260
102,2000,150
103,10000,1000
104,20000,1500
105,1500,130
106,3000,260
107,5000,350
108,3000,250
109,4000,250
110,2000,120
111,9500,730
112,20000,1500
113,2000,180
114,5500,410
115,20000,1500
116,3000,170
117,3000,190
118,2000,130
119,1500,130
120,2000,180
121,2000,100
122,2000,130
123,5000,250
124,2500,120
125,2000,70
126,2000,180
127,3000,190
128,5000,500
129,6000,250
130,1500,130
131,2500,250
132,1000,100
133,3000,200
134,5000,350
135,3000,260
136,1000,140
137,5000,330
138,5000,570
139,5000,350
140,3000,190
141,30000,2000
142,1000,100
143,2000,120
144,3000,260
145,2500,250
146,10000,1000
147,2500,250
148,2000,120
149,9000,290
150,2000,190
151,3000,190
152,1000,100
153,1000,70
154,40000,3500
155,1300,110
156,3000,230
157,3000,250
158,2000,200
159,3000,200
160,4000,160
161,20000,1500
162,5000,250
163,2200,130
164,5000,350
165,3000,190
166,3000,260
167,5000,450
168,2000,150
169,2000,180
170,5000,250
171,1500,130
172,2000,190
173,5000,350
174,3000,190
175,2500,250
176,3000,230
177,1500,130
178,2000,100
179,20000,880
180,3000,230
181,3000,250
182,4000,3500
183,3000,200
184,10000,430
185,9000,290
186,2000,112
187,3000,160
188,15000,500
189,10000,1000
190,2000,200
191,4000,400
192,2000,130
193,2200,130
194,2000,200
195,3000,230
196,2500,250
197,3000,190
198,3000,260
199,6000,250
200,2000,250
201,4260,355
202,5000,200
203,1000,80
204,2000,180
205,3000,250
206,3000,190
207,2000,200
208,5000,350
209,5000,250
210,2500,160
211,2000,125
212,3000,200
213,2000,130
214,3000,250
215,600,60
216,3000,280
217,5000,160
218,3000,200
219,2000,180
220,2000,160
221,3000,260
222,1500,130
223,1500,130
224,6000,500
225,5000,380
226,3000,230
227,20000,1500
228,3000,120
229,2000,200
230,2000,150
231,2000,200
232,1500,130
233,3000,230
234,5000,350
235,3000,210
236,3000,200
237,2000,120
238,1000,100
239,1500,145
240,5000,350
241,1000,90
242,2000,120
243,2000,125
244,2000,170
245,2000,180
246,3000,260
247,3000,280
248,3000,418
249,6000,550
250,9000,290
251,2000,200
252,3000,200
253,5000,380
254,3000,260
255,4000,250
256,2000,160
257,2000,180
258,1000,100
259,3000,200
260,1000,100
261,20000,1500
262,3000,190
263,3000,190
264,2000,120
265,2000,180
266,4260,355
267,2000,180
268,2000,180
269,2000,160
270,4260,325
271,1000,100
272,3000,200
273,3000,140
274,3000,250
275,4260,355
276,1200,75
277,4260,325
278,5000,350
279,3000,200
280,1500,120
281,200,12
282,3000,200
283,5000,300
284,3000,260
285,2000,120
286,2000,105
287,3000,230
288,3000,190
289,3000,200
290,1200,75
291,3000,190
292,1500,130
293,2000,150
294,2500,190
295,5000,350
296,3000,200
297,2000,190
298,2500,250
299,2000,190
300,3000,190
301,2200,130
302,2000,70
303,3000,180
304,3000,200
305,1000,60
306,3000,200
307,2000,125
308,2000,190
309,2000,130
310,2000,190
311,1000,70
312,3000,480
313,9500,730
314,2000,110
315,2000,85
316,1000,35
317,3000,260
318,2000,130
319,2200,130
320,5000,350
321,2000,100
322,3000,170
323,1000,100
324,2000,180
325,2000,150
326,2000,170
327,10000,1000
328,5000,250
329,2000,140
