,보증금,월세
0,12000,750
1,36000,1800
2,1000,100
3,1500,145
4,5000,350
5,5000,350
6,3000,140
7,1500,150
8,1500,150
9,2000,140
10,1500,180
11,5000,300
12,2000,270
13,4000,200
14,15000,600
15,2000,165
16,2000,130
17,3000,140
18,3000,150
19,3000,140
20,3000,288
21,25000,1300
22,6000,230
23,3000,140
24,7000,250
25,7000,400
26,25000,1300
27,3000,140
28,5000,450
29,5000,350
30,3000,140
31,2000,270
32,1500,150
33,1500,145
34,47500,2350
35,4000,400
36,35000,1600
37,5000,380
38,5000,400
39,5000,400
40,4000,500
41,5000,500
42,3000,200
43,10000,670
44,4000,180
45,5000,490
46,20000,1300
47,3000,200
48,20000,1000
49,24000,1500
50,3000,210
51,3000,260
52,12000,600
53,10000,580
54,4000,250
55,8000,450
56,1500,170
57,6000,300
58,2000,220
59,5000,250
60,3000,350
61,20000,1200
62,5000,350
63,2000,200
64,12000,610
65,3000,200
66,10000,800
67,8000,590
68,5000,258
69,2000,135
70,3000,200
71,4500,580
72,7000,500
73,10000,800
74,5000,250
75,6000,350
76,10000,470
77,6000,330
78,20000,1000
79,4000,250
80,10000,450
81,9500,940
82,3000,300
83,15000,440
84,15000,750
85,5000,410
86,10000,880
87,10000,720
88,6000,350
89,13000,900
90,3000,363
91,10000,650
92,4000,400
93,6000,380
94,2000,200
95,10000,600
96,5000,230
97,5000,430
98,5000,398
99,3000,400
100,5000,320
101,6000,530
102,4000,350
103,5000,470
104,15000,2000
105,10000,500
106,40000,1700
107,3500,330
108,4800,290
109,15000,950
110,35000,1600
111,10000,720
112,5000,250
113,2000,270
114,2000,200
115,15000,800
116,3000,275
117,2000,200
118,3000,260
119,3000,260
120,10000,530
121,4000,200
122,3000,175
123,5000,300
124,2500,180
125,5000,470
126,3000,350
127,2000,270
128,8000,600
129,10000,560
130,19000,900
131,5000,400
132,6000,380
133,4000,360
134,5000,250
135,3500,330
136,7000,400
137,24000,1500
138,3000,200
139,12000,600
140,2000,125
141,3000,175
142,3000,210
143,3000,180
144,2000,190
145,8000,350
146,10000,1100
147,4000,390
148,5000,310
149,4000,250
150,5000,350
151,36000,1790
152,8000,440
153,3000,215
154,36000,1800
155,7500,600
156,6000,380
157,3000,300
158,3000,270
159,4000,330
160,6000,325
161,6000,380
162,3000,260
163,2500,180
164,7000,410
165,24000,1200
166,20000,1200
167,5000,400
168,500,50
169,20000,2000
170,1000,135
171,10000,500
172,10000,750
173,6000,380
174,3000,200
175,5000,340
176,8000,590
177,2500,220
178,6000,380
179,3000,200
180,30000,2600
181,5000,300
182,2000,138
183,140000,7900
184,25000,1300
185,25000,1300
186,10000,1000
187,3500,250
188,7000,500
189,24000,1200
190,20000,900
191,3000,200
192,5000,300
193,12000,600
194,2000,251
195,3000,250
196,2000,251
197,10000,650
198,3000,200
199,2000,160
200,5000,350
201,1500,145
202,5000,430
203,3000,200
204,12000,600
205,15000,700
206,6000,300
207,20000,1666
208,3000,330
209,5000,450
210,3000,250
211,7000,500
212,2000,200
213,1000,80
214,6000,600
215,5000,360
216,5000,490
217,2000,200
218,2000,270
219,5000,350
220,20000,1000
221,3200,160
222,10000,700
223,3000,250
224,5000,300
225,3000,330
226,3000,240
227,10000,350
228,10000,350
229,7000,400
230,6000,380
231,5000,330
232,5000,350
233,4000,300
234,5000,235
235,2000,190
236,700,60
237,4000,430
238,3000,288
239,10000,400
240,1000,50
241,3000,393
242,3500,320
243,6000,380
244,10000,500
245,1000,100
246,4000,284
247,15000,950
248,19000,900
249,15000,800
250,10000,750
251,6000,530
252,3000,150
253,4000,200
254,2500,310
255,10000,800
256,2000,280
257,6000,450
258,3500,250
259,5000,470
260,5000,430
261,4000,449
262,5000,400
263,2000,270
264,5000,350
265,10000,952
266,2000,270
267,10000,450
268,2000,100
269,2000,270
270,4000,200
271,7000,370
272,2000,270
273,2500,220
274,10000,550
275,1500,170
276,6000,350
277,5000,280
278,2000,280
279,7000,400
280,2000,150
281,3000,150
282,25000,1300
283,8000,350
284,7000,400
285,10000,650
286,25000,1800
287,15000,800
288,3500,330
289,4000,300
290,5000,650
291,10000,350
292,10000,500
293,3000,330
294,18000,1760
295,8000,450
296,5000,400
297,19000,900
298,9000,700
299,7000,400
300,3000,270
301,20000,1000
302,6000,350
303,5000,300
304,2000,95
305,7000,400
306,2000,120
307,5000,300
308,5000,380
309,5000,300
310,2000,180
311,15000,600
312,3000,200
313,1000,120
314,10000,500
315,5000,400
316,5000,350
317,13000,900
318,5000,320
319,4500,370
320,5000,470
321,12000,750
322,5000,400
323,3000,140
324,10000,800
325,24000,1500
326,36000,1800
327,3000,275
328,10000,650
329,20000,800
330,10000,720
331,10000,900
332,34000,2365
333,3000,200
334,2000,251
335,3000,280
336,3000,350
337,3000,200
338,10000,460
339,2000,251
340,2000,200
341,3500,330
342,1000,150
343,4000,430
344,12000,790
345,10000,460
346,5000,430
347,1700,160
348,7000,370
349,10000,630
350,12000,1000
351,11000,900
352,10000,800
353,7000,350
354,100000,400
355,3500,330
356,13000,900
357,20000,900
358,1000,65
359,3500,330
360,5000,450
361,10000,552
362,4200,370
363,5000,360
364,3500,330
365,5000,450
366,10000,400
367,5000,480
368,5000,400
369,3000,250
370,6000,500
371,3500,280
372,15000,750
373,2000,150
374,10000,700
375,10000,1000
376,6000,380
377,1000,120
378,6000,350
379,4000,340
380,4000,280
381,5000,450
382,3000,200
383,10000,800
384,10000,952
385,5000,240
386,2500,220
387,81273,8127
388,10000,700
389,3500,330
390,1000,100
391,3000,130
392,3000,300
393,81273,8127
394,15000,900
395,15000,750
396,7000,370
397,5000,470
398,10000,460
399,12000,710
400,5000,370
401,3000,280
402,5000,310
403,3000,350
404,20000,1000
405,2000,120
406,5000,300
407,5000,270
408,5000,258
409,10000,460
410,3000,130
411,6000,380
412,36000,1800
413,4000,350
414,4000,200
415,5000,470
416,5000,470
417,5000,200
418,5000,400
419,3000,260
420,700,60
421,5000,250
422,5000,430
423,6000,480
424,10000,530
425,4000,250
426,3000,280
427,10000,750
428,6000,350
429,10000,880
430,10000,800
431,4000,300
432,3000,280
433,5000,400
434,12000,750
435,12000,500
436,4000,256
437,2000,250
438,15000,600
439,7000,450
440,6000,380
441,4000,300
442,5000,550
443,5000,350
444,10000,230
445,2500,210
446,3000,150
447,8000,700
448,5000,320
449,5000,340
450,5000,380
451,12000,600
452,5000,350
453,10000,952
454,25000,1800
455,3000,130
456,3000,210
457,7000,400
458,3000,360
459,7000,750
460,2000,190
461,5000,330
462,2000,165
463,12000,790
464,10000,550
465,24000,1500
466,20000,900
467,5000,350
468,36000,1800
469,3000,250
470,5000,320
471,3000,280
472,4800,290
473,5000,400
474,20000,1000
475,3200,160
476,4000,200
477,1500,130
478,4000,350
479,5000,500
480,5000,360
481,3000,200
482,2000,180
483,1000,99
484,7500,600
485,12000,790
486,5000,470
487,5000,330
488,6000,380
489,2000,228
490,5000,490
491,8000,390
492,10000,952
493,15000,430
494,3000,200
495,1000,135
496,10000,460
497,3000,220
498,4800,290
499,1500,130
500,3000,330
501,10000,460
502,10000,550
503,3000,210
504,20000,1000
505,5000,300
506,1500,70
507,5000,545
508,4000,250
509,2000,140
510,4800,290
511,10000,900
512,1000,150
513,3000,370
514,10000,700
515,2000,200
516,3000,330
517,3000,246
518,2000,200
519,2000,230
520,10000,800
521,10000,530
522,1500,130
523,4000,274
524,3000,330
525,2000,251
526,5000,380
527,5500,268
528,1500,145
529,5000,300
530,5000,602
531,15000,500
532,3000,210
533,6000,380
534,3000,280
535,5000,320
536,2000,250
537,8000,600
538,7000,500
539,5000,310
540,36000,1800
541,3000,200
542,2000,160
543,20000,1000
544,3000,200
545,3000,200
546,1500,100
547,5000,450
548,2000,200
549,2000,180
550,4000,284
551,15000,500
552,20000,1000
553,4200,250
554,6000,380
555,5000,400
556,3200,160
557,10000,460
558,2000,200
559,10000,460
560,3500,363
561,3000,300
562,2500,170
563,3500,330
564,2000,200
565,4000,250
566,4000,200
567,1000,180
568,2000,200
569,4500,580
570,5000,300
571,4400,440
572,5000,350
573,6000,420
574,7500,600
575,4000,200
576,70000,2500
577,2000,138
578,1000,180
