,보증금,월세
0,4000,400
1,13000,1100
2,20000,800
3,6000,250
4,3000,240
5,10000,900
6,3000,250
7,3000,250
8,5000,430
9,2000,100
10,5000,260
11,1500,140
12,13000,1100
13,27000,1700
14,15000,1500
15,6000,230
16,3000,260
17,5000,370
18,5000,340
19,1500,140
20,10000,730
21,10000,900
22,3000,240
23,6000,350
24,8000,300
25,5000,350
26,2000,180
27,3000,200
28,15000,1500
29,3000,240
30,2000,160
31,20000,800
32,3000,250
33,6000,350
34,2000,180
35,1500,140
36,10000,835
37,20000,800
38,2000,160
39,6000,350
40,1500,140
41,3000,150
42,8000,300
43,2000,150
44,6000,350
45,2000,170
46,5000,250
47,7000,400
48,4000,220
49,2000,200
50,3000,270
51,10000,1000
52,60000,2600
53,13000,1100
54,10000,600
55,3000,230
56,1500,140
57,3000,150
58,30000,2500
59,30000,1400
60,4000,200
61,10000,600
62,10000,1000
63,20000,1534
64,10000,610
65,3000,230
66,4000,230
67,3000,150
68,1500,170
69,4000,230
70,15000,900
71,7000,360
72,4000,350
73,2000,150
74,20000,1500
75,3000,230
76,15000,500
77,10000,370
78,2000,150
79,3000,230
80,10000,900
81,3000,230
82,20000,800
83,1500,140
84,3000,250
85,13000,1100
86,2000,100
87,10000,750
88,10000,400
89,10000,600
90,15000,1100
91,20000,2000
92,5000,340
93,1500,170
94,3000,280
95,20000,800
96,1500,140
97,3000,210
98,27000,1700
99,25000,1250
100,3000,250
101,3000,200
102,10000,1000
103,15000,912
104,2000,150
105,2000,170
106,2000,140
107,5000,350
108,2000,180
109,10000,440
110,6500,290
111,1800,110
112,5000,370
113,2000,180
114,5000,220
115,10000,440
116,4000,300
117,2000,160
118,3000,190
119,1500,170
120,5000,260
121,2000,120
122,2000,180
123,4000,300
124,2000,240
125,5000,250
126,6000,350
127,10000,600
128,3000,250
129,3000,150
130,10000,1000
131,5000,400
132,3000,250
133,27000,1700
134,3000,250
135,6000,350
136,30000,1250
137,13000,1100
138,3000,250
139,3000,250
140,1000,100
141,1500,120
142,7000,360
143,1500,140
144,2000,150
145,20000,800
146,3000,210
147,2000,197
148,10000,1000
149,13000,1100
150,3000,250
151,10000,500
152,20000,2000
153,13000,1100
154,15000,500
155,6000,350
156,2000,240
157,20000,1500
158,5000,270
159,2000,160
160,15000,500
161,20000,800
162,2000,120
163,3000,300
164,3000,210
165,3000,230
166,6000,350
167,6000,350
168,1500,145
169,3000,250
170,3000,250
171,1000,100
172,1000,120
173,1000,100
174,20000,1500
175,500,63
176,3000,220
177,3000,300
178,13000,1100
179,3000,250
180,3000,150
181,6000,350
182,3900,398
183,6000,350
184,5000,430
185,4000,303
186,4000,400
187,4000,350
188,3000,350
189,10000,500
190,1500,140
191,60000,2800
192,30000,1400
193,3000,410
194,20000,1500
195,2000,150
196,1800,110
197,6000,230
198,3000,230
199,13000,1100
200,3000,200
201,3000,250
202,10000,1000
203,4000,150
204,10000,440
205,12000,900
206,3000,100
207,10000,400
208,1000,100
209,3000,260
210,15000,1200
211,2000,240
212,5000,370
213,3000,250
214,10000,500
215,8000,120
216,20000,2000
217,3000,260
218,5000,250
219,6000,350
220,20000,800
221,2000,148
222,20000,800
223,6000,350
224,3000,270
225,20000,800
226,2000,180
227,25000,1200
228,20000,2000
229,4000,150
230,30000,1500
231,3000,400
232,4000,450
233,3000,250
234,30000,2500
235,3000,250
236,1500,160
237,10000,1300
238,6000,600
239,3000,280
240,6000,350
241,1500,140
242,6000,350
243,3000,150
244,15000,500
245,20000,800
246,13000,1100
247,10000,370
248,4000,300
249,1500,130
250,5000,460
251,8000,290
252,6000,230
253,20000,1500
254,3000,200
255,3000,250
256,10000,450
257,10000,730
258,7000,360
259,1500,140
260,9950,660
261,20000,2000
262,3000,250
263,10000,1000
264,2500,140
265,3000,230
266,2000,110
267,2000,160
268,8000,300
269,1500,140
270,2000,240
271,5000,250
272,7000,360
273,10000,1000
274,25000,1250
275,13000,1100
276,1000,110
277,10000,1100
278,5000,320
279,10000,600
280,15000,500
281,3000,250
282,2000,220
283,10000,400
284,2000,140
285,30000,1800
286,3000,250
287,3900,398
288,10000,1000
289,3000,150
290,20000,1100
291,20000,800
292,54000,2600
293,3000,280
294,3000,230
295,4000,450
296,5000,350
297,2000,110
298,5000,430
299,5000,250
