,보증금,월세
0,2000,160
1,2000,200
2,4000,208
3,5000,240
4,10000,450
5,4000,270
6,4000,260
7,2000,200
8,3000,340
9,3000,218
10,30000,1500
11,2000,200
12,17000,700
13,3000,400
14,3000,250
15,10000,580
16,13000,600
17,12000,1100
18,3000,120
19,12000,580
20,5000,330
21,8000,550
22,13000,1050
23,5000,500
24,2800,112
25,7000,450
26,1000,100
27,5000,201
28,3000,250
29,18000,750
30,15000,1200
31,15000,1200
32,3000,250
33,10000,600
34,1000,150
35,3000,200
36,3500,200
37,5000,340
38,11000,800
39,2000,160
40,15000,875
41,3000,220
42,2000,180
43,15000,1200
44,3000,218
45,5000,240
46,5000,300
47,1000,105
48,8000,550
49,12000,540
50,5000,500
51,3000,290
52,10000,900
53,16000,1250
54,3000,290
55,11000,800
56,5000,400
57,15000,1500
58,7000,420
59,10000,600
60,3000,200
61,13000,1000
62,9000,820
63,3000,218
64,2000,255
65,2800,111
66,13000,600
67,6000,400
68,7000,410
69,3000,120
70,2500,240
71,5000,379
72,10000,900
73,10000,800
74,10000,950
75,5000,200
76,3500,400
77,8500,500
78,3800,375
79,12000,540
80,30000,1320
81,1000,105
82,10000,600
83,1000,100
84,2000,110
85,5000,300
86,15000,1500
87,5000,400
88,18000,750
89,3000,218
90,15000,800
91,15000,875
92,15000,1300
93,15000,875
94,3000,120
95,1000,65
96,20000,1800
97,2000,180
98,3000,250
99,15000,1200
100,5000,400
101,7000,450
102,8000,540
103,12000,580
104,30000,1320
105,1000,80
106,1000,90
107,30000,1400
108,2000,240
109,5000,400
110,3360,201
111,15000,1200
112,5000,315
113,10000,580
114,8000,550
115,30000,400
116,6000,410
117,5000,390
118,13000,990
119,5000,220
120,5000,400
121,10000,580
122,9000,820
123,15000,875
124,5000,440
125,10000,650
126,10000,800
127,8000,400
128,2000,130
129,4000,300
130,4000,310
131,7000,450
132,10000,850
133,2000,110
134,5000,340
135,10000,600
136,4000,350
137,5000,336
138,13000,1000
139,5000,380
140,4000,320
141,15000,1400
142,5000,400
143,3000,120
144,18000,750
145,20000,1200
146,35000,2300
147,11000,800
148,8000,530
149,15000,900
150,30000,1320
151,4000,310
152,3000,120
153,3000,218
154,8000,425
155,4000,370
156,5000,320
157,30000,1320
158,2000,130
159,5000,336
160,30000,1320
161,700,28
