,보증금,월세
0,1000,171
1,8000,800
2,20000,850
3,3000,150
4,10000,600
5,5000,500
6,12000,600
7,3000,180
8,6000,750
9,10000,700
10,20000,850
11,3000,250
12,6000,530
13,10000,700
14,5000,300
15,20000,1200
16,1500,110
17,17000,900
18,100000,4500
19,3500,320
20,7000,400
21,30000,1650
22,2000,150
23,18000,1200
24,8000,500
25,10000,800
26,3000,235
27,10000,400
28,65000,2690
29,1500,150
30,8000,500
31,4000,350
32,10000,700
33,5000,270
34,2500,250
35,100000,5000
36,30000,2500
37,50000,4500
38,2500,180
39,13000,600
40,20000,850
41,8000,500
42,10000,400
43,6000,450
44,6000,370
45,3000,320
46,2500,200
47,7000,400
48,2000,150
49,18000,1200
50,4000,300
51,5000,400
52,20000,1100
53,5000,300
54,4000,370
55,10000,900
56,5000,300
57,5000,300
58,10000,800
59,10000,700
60,2000,200
61,18000,1200
62,15000,1250
63,8000,600
64,30000,2500
65,3000,280
66,15000,1250
67,5000,420
68,5000,420
69,7000,500
70,25000,1800
71,3000,168
72,4000,360
73,10000,1500
74,10000,800
75,15000,1250
76,15000,1250
77,2000,210
78,4000,280
79,2000,140
80,40000,4000
81,10000,600
82,7000,350
83,10000,480
84,15000,747
85,8000,380
86,10000,850
87,13000,600
88,3000,150
89,10000,700
90,8000,800
91,1500,120
92,3000,350
93,5000,350
94,5000,400
95,10000,700
96,2000,180
97,3000,280
98,8000,550
99,3000,260
100,5500,400
101,4000,210
102,42000,3500
103,10000,560
104,6000,500
105,2000,100
106,10000,900
107,60000,5000
108,10000,1350
109,15000,746
110,15000,746
111,13000,600
112,18000,1500
113,10000,700
114,20000,1850
115,8000,1700
116,7000,400
117,2000,100
118,5000,350
119,4000,280
120,8000,1700
121,4000,350
122,1000,100
123,7000,400
124,10000,473
125,15000,1250
126,10000,1000
127,42000,3500
128,5000,390
129,4000,310
130,5000,300
131,3000,165
132,1000,280
133,5000,300
134,5500,270
135,20000,1200
136,50000,4500
137,100000,5200
138,1000,140
139,10000,425
140,10000,550
141,100000,8000
142,50000,4500
143,2000,150
144,5000,300
145,10000,1000
146,5000,300
147,10000,700
148,5000,242
149,5000,388
150,30000,1800
151,3000,270
152,5000,400
153,10000,700
154,50000,4500
155,10000,600
156,6000,360
157,8000,550
158,3000,250
159,80000,4000
160,4000,350
161,10000,700
162,100000,4000
163,5000,380
164,4000,400
165,3000,245
166,20000,1500
167,4000,210
168,200000,12000
169,10000,900
170,10000,700
171,20000,1250
172,10000,700
173,15000,900
174,4000,410
175,8000,1700
176,10000,700
177,150000,7000
178,35000,2000
179,10000,700
180,4000,200
181,2000,200
182,17000,1500
183,13000,800
184,7000,350
185,5000,450
186,5000,390
187,30000,750
188,3000,300
189,10000,370
190,3000,300
191,7000,350
192,10000,900
193,2000,160
194,10000,850
195,7000,450
196,10000,500
197,5000,300
198,8000,550
199,40000,2500
200,4200,400
201,1000,100
202,10000,1350
203,30000,2500
204,5000,388
205,6000,550
206,50000,4500
207,10000,850
208,10000,370
209,2000,230
210,4000,350
211,15000,1000
212,7000,400
213,2000,240
214,10000,1000
215,3000,300
216,3000,120
217,42000,3500
218,50000,2000
219,1000,280
220,50000,5000
221,10000,600
222,5000,380
223,50000,3300
224,100000,8000
225,10000,700
226,3000,300
227,3000,200
228,3000,270
229,40000,3300
230,10000,700
231,5000,400
232,6000,380
233,30000,3000
234,20000,1800
235,3000,280
236,29000,2900
237,5000,200
238,2000,200
239,10000,680
240,50000,6000
241,15000,746
242,9265,927
243,5413,541
244,40000,2500
245,60000,5000
246,4451,445
247,10940,1094
248,10000,490
249,15000,746
250,30000,2742
251,12184,1218
252,11927,1193
253,7000,350
254,31028,3102
255,10000,700
256,10000,500
257,10000,425
258,15000,1000
259,40791,4079
260,11086,1109
261,10000,530
262,27415,2741
263,15000,746
264,5805,581
265,30000,3000
266,25000,1200
267,25000,1200
268,150000,11000
269,10000,1500
270,200000,12000
271,60000,5000
272,13528,1353
273,50000,4500
274,150000,11000
275,17501,1750
276,50000,4000
277,35590,3559
278,3000,110
279,8000,1700
280,5500,480
281,12500,470
282,5000,450
283,3000,270
284,10000,840
285,6000,370
286,5000,358
287,50000,2400
288,10000,600
289,8000,800
290,10000,850
291,20000,2000
292,10000,1350
293,3500,230
294,6000,530
295,3000,250
296,50000,3000
297,200000,12000
298,2000,150
299,5000,350
300,8000,1700
301,15000,1250
302,3000,150
303,3000,350
304,15000,1000
305,5000,300
306,10000,700
307,4000,297
308,15000,1250
309,6000,500
310,10000,1300
311,80000,7000
312,5000,420
313,500,76
314,5000,351
315,20000,2000
316,3000,180
317,5000,350
318,5000,460
319,8000,800
320,14000,1240
321,15000,900
322,2300,200
323,6500,330
324,10000,800
325,10000,480
326,20000,1500
327,4000,300
328,10000,800
329,2000,150
330,5500,295
331,7000,600
332,5000,380
333,15000,1300
334,2000,150
335,15000,1250
336,150000,7000
337,20000,2000
338,4500,240
339,3500,270
340,10000,480
341,3000,370
342,18000,1500
343,2000,270
344,10000,600
345,30000,1800
346,5000,350
347,4000,390
348,3000,270
349,150000,11000
350,5000,230
351,3000,330
352,30000,1500
353,5000,351
354,10000,600
355,10000,690
356,6000,550
357,30000,1600
358,20000,1500
359,10000,600
360,100000,5200
361,10000,700
362,20000,1250
363,7000,280
364,30000,1600
365,10000,700
366,2000,160
367,4000,370
368,7000,400
369,60000,5000
370,25000,2000
371,7000,600
372,50000,3000
373,20000,1800
374,15000,1000
375,30000,2800
376,10000,500
377,8000,490
378,2500,200
379,20000,2000
380,5000,460
381,10000,1350
382,2000,160
383,40000,3450
384,2000,140
385,1000,100
386,150000,11000
387,4000,210
388,2000,190
389,10000,800
390,10000,800
391,15000,830
392,13000,600
393,3000,330
394,3000,153
395,8500,530
396,5000,450
397,7000,350
398,2000,150
399,5000,300
400,15000,1200
401,8000,550
402,50000,4500
403,10000,400
404,5000,400
405,10000,800
406,5000,300
407,30000,1650
408,1000,110
409,10000,425
410,7000,450
411,7000,300
412,6000,470
413,5000,290
414,10000,850
415,30000,2500
416,3000,300
417,1500,110
418,30000,1500
419,10000,1350
420,7000,600
421,4000,300
422,2000,150
423,3000,250
424,20000,1250
425,2500,240
426,10000,900
427,10000,400
428,8000,7000
429,30000,1200
430,5000,300
431,20000,2000
432,10000,500
433,500,76
434,20000,850
435,2000,240
436,4000,400
437,15000,1000
438,8000,500
439,10000,425
440,10000,700
441,2500,150
442,5000,460
443,5500,480
444,8000,800
445,20000,2000
446,3500,320
447,2500,250
448,2000,150
449,15290,1529
450,70000,6000
451,7000,500
452,9000,750
453,30000,1800
454,2500,250
455,4000,270
456,2000,170
457,5000,350
458,10000,400
459,10000,600
460,3000,350
461,8000,330
462,19780,1978
463,12000,553
464,30000,2500
465,20000,883
466,20000,2000
467,70000,7000
468,150000,10000
469,8000,380
470,50000,3200
471,13480,1348
472,10921,1092
473,12970,1297
474,7000,500
475,10350,1035
476,4000,270
477,5000,388
478,30000,2800
479,10000,790
480,5000,430
481,80000,2800
482,29000,2900
483,6000,400
484,20000,1600
485,200000,11000
486,5500,280
487,5000,330
488,6000,500
489,30000,2857
490,30000,2000
491,4000,440
492,10000,700
493,18000,1500
494,10000,500
495,8000,500
496,15000,900
497,4400,440
498,200000,12000
499,10000,2000
500,10000,400
501,10000,615
502,140000,7900
503,5000,380
504,30000,2500
505,3000,300
506,3000,180
507,5000,550
508,3328,416
509,2000,140
510,2500,240
511,8000,1700
512,4000,375
513,10000,650
514,60000,5000
515,12458,1557
516,6000,550
517,7456,932
518,8000,400
519,2000,160
520,10000,1300
521,10000,900
522,10000,600
523,10000,1100
524,3500,320
525,4000,300
526,3000,450
527,25000,1700
528,20000,1800
529,4000,280
530,5000,300
531,4000,300
532,4000,300
533,5000,350
534,10000,900
535,8000,700
536,12000,830
537,5000,450
538,5000,300
539,10000,850
540,1000,100
541,5000,500
542,24000,1660
543,1000,171
544,13000,820
545,10000,600
546,4000,270
547,12000,830
548,1000,280
549,5000,250
550,7000,600
551,10000,620
552,2000,130
553,10000,480
554,10000,620
555,10000,850
556,5000,350
557,10000,800
558,7000,390
559,5000,400
560,2000,140
561,10000,700
562,5000,300
563,5000,350
564,3000,300
565,2000,145
566,5000,350
567,5000,450
568,3000,450
569,4000,373
570,2000,160
571,10000,530
572,10000,700
573,10000,900
574,40000,2000
575,3000,275
576,3000,200
577,10000,700
578,10000,1350
579,5000,350
580,2000,200
581,3000,300
582,8000,200
583,12000,850
584,10000,850
585,5000,500
586,15000,900
587,5000,350
588,2000,150
589,5000,300
590,15000,1200
591,4000,370
592,5000,410
