,보증금,월세
0,10000,850
1,30000,1900
2,10000,550
3,20000,1800
4,10300,1030
5,20000,1800
6,21755,1813
7,15000,1000
8,20000,860
9,50000,3000
10,5000,300
11,15000,1300
12,6000,500
13,20000,1600
14,10000,350
15,5000,310
16,10000,850
17,1500,150
18,15000,800
19,20000,1600
20,3000,230
21,25000,1500
22,10000,650
23,25000,1500
24,8000,350
25,50000,4500
26,10000,850
27,8900,735
28,100000,5000
29,10000,650
30,20000,860
31,15000,630
32,20000,2000
33,10000,450
34,15000,2100
35,30000,1500
36,18000,1800
37,100000,13000
38,20000,1200
39,20000,1800
40,50000,700
41,10000,500
42,5000,300
43,10000,650
44,50000,4500
45,8000,450
46,19179,1598
47,5000,550
48,15000,600
49,12800,830
50,10000,850
51,7000,500
52,30000,2200
53,10000,750
54,30000,1500
55,20000,1800
56,10000,750
57,5000,380
58,10000,450
59,100000,5000
60,8000,450
61,15000,2100
62,5000,310
63,5000,350
64,15000,630
65,60000,4500
66,8820,552
67,5000,300
68,15000,1200
69,5000,350
70,40000,2600
71,5000,250
72,5000,280
73,5000,250
74,3000,190
75,10000,800
76,3000,300
77,50000,700
78,20000,1100
79,10000,850
80,25000,1500
81,6000,216
82,30000,700
83,10000,680
84,240000,24000
85,90000,5500
86,3000,400
87,50000,700
88,240000,24000
89,100000,8000
90,10000,850
91,20000,1600
92,10000,850
93,10000,450
94,10000,850
95,40000,2600
96,2000,125
97,3000,300
98,20000,1200
99,30000,1433
100,20000,840
101,2000,200
102,30000,700
103,20600,2060
104,10000,700
105,2000,300
106,41400,4140
107,15000,700
108,10000,450
109,3000,250
110,2000,300
111,30000,2100
112,90000,5500
113,50000,7500
114,30000,700
115,30000,1300
116,10000,850
117,40000,2200
118,100000,5000
119,10000,600
120,10000,600
121,10000,500
122,3000,250
123,3000,290
124,3000,300
125,20000,1600
126,3000,230
127,8000,380
128,2000,130
129,10000,650
130,5000,580
131,10000,400
132,18000,1800
133,8000,350
134,10000,450
135,30000,3000
136,10000,720
137,3000,300
138,3000,250
139,25000,1500
