,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,구_동,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
0,2021,1,R,전통시장,2130310,강남구 개포동,강남개포시장,CS100010,커피-음료,312689030,49295,68,32,13,13,14,13,15,17,15,0,12,33,28,25,2,43,57,5,21,18,24,22,10,212771413,99917617,41374124,40926804,42409288,40541688,47519509,52708862,47208755,0,38462005,102351081,85927776,78857994,7090174,122761282,165238202,14726241,61483835,52175339,68996062,63164727,27453276,33150,16145,6590,6262,6562,6259,7477,8213,7932,0,7636,14650,14608,11189,1212,21419,26107,3574,11148,8548,11348,9508,3399,27
1,2021,2,R,전통시장,2130310,강남구 개포동,강남개포시장,CS100010,커피-음료,431980344,72887,69,31,12,13,16,14,14,15,16,0,13,32,25,27,4,42,58,4,20,20,26,20,11,298380792,133599552,53612790,56118578,67520052,60819018,60310354,65217771,68381781,0,54665676,137742869,107037412,116405687,16128700,162935939,229080799,16658821,77719982,78267535,99778168,76698464,42893767,50746,22141,10086,9617,11002,9687,10354,10485,11656,0,11936,20733,20051,17766,2401,30890,39141,3895,17070,14704,15906,12863,5593,28
2,2021,3,R,전통시장,2130310,강남구 개포동,강남개포시장,CS100010,커피-음료,424620553,78914,70,30,12,12,14,16,16,16,14,0,15,32,27,24,3,42,58,4,19,19,27,20,10,297685421,126935132,52501454,51840722,60473379,66459871,66409995,67734167,59200965,0,61692036,133815271,115803432,100537399,12772415,164832622,227168812,16138673,74810040,76183992,105654369,79630052,39584308,55571,23343,10738,10093,10778,12018,11944,12229,11114,0,15202,21994,21698,17707,2313,33543,43000,3796,16262,16129,18894,14977,6482,29
3,2021,4,R,전통시장,2130310,강남구 개포동,강남개포시장,CS100010,커피-음료,370069989,84553,69,31,13,12,14,14,15,16,16,0,19,30,26,22,3,48,52,5,21,19,27,18,10,254089188,115980801,46842869,46020030,52748077,51686464,56791748,58161783,57819018,0,70997718,111684065,94367496,80348942,12671768,164953419,178437112,17701895,72259547,65485372,93981338,60725292,33237089,58955,25598,11358,11030,11689,11917,12961,13166,12432,0,18515,24944,21220,17234,2640,40149,41128,4560,19655,15171,20586,13804,7498,20
4,2021,1,A,골목상권,2110983,강남구 개포동,국립국악고등학교,CS100010,커피-음료,47123812,7748,74,26,13,17,15,15,14,16,10,0,15,38,30,16,1,51,49,1,14,28,26,17,15,34991864,12131948,6332198,7915928,7086615,7056657,6600466,7345350,4786598,0,7277262,17911269,13951264,7658555,325462,21687440,21078732,292779,5889626,12103350,11056154,7157426,6266833,5842,1906,1049,1226,1130,1144,1293,1130,776,0,1580,2886,2057,1157,68,3963,3350,54,858,2615,1689,1035,1062,3
5,2021,2,A,골목상권,2110983,강남구 개포동,국립국악고등학교,CS100010,커피-음료,59080093,9886,79,21,14,14,19,16,17,14,8,0,12,35,26,23,3,48,52,1,8,29,21,29,12,46599533,12480560,8433399,8028955,11178713,9195986,9762480,8034403,4446157,0,7282710,20837698,15401541,13787852,1770292,25376455,27085469,309120,4428453,15046121,11165096,15146891,6366243,7667,2219,1376,1525,1688,1539,1539,1389,830,0,1702,3295,2575,2083,231,4889,4357,41,1035,3268,2043,1961,898,3
6,2021,3,A,골목상권,2110983,강남구 개포동,국립국악고등학교,CS100010,커피-음료,59590754,9533,78,23,12,18,13,17,18,13,10,0,10,38,33,19,1,49,51,1,14,19,28,26,12,46162409,13428345,7364415,10431106,7734814,10064792,10567282,7721196,5707149,0,5682638,22469091,19710160,11109263,619602,24624762,26045081,491597,7260920,9619495,14068375,13184591,6044866,7396,2137,1321,1553,1471,1416,1635,1307,830,0,1130,3514,3202,1538,149,4208,3963,96,1389,1729,2342,1661,953,3
7,2021,4,A,골목상권,2110983,강남구 개포동,국립국악고등학교,CS100010,커피-음료,52520481,8770,77,23,14,13,19,15,17,12,11,0,8,43,31,18,1,44,56,1,14,14,26,28,16,40596882,11923599,7112489,7043039,9705286,7657194,9078874,6040782,5882817,0,4038989,22460923,16142340,9565024,313205,20911234,26542125,510661,6791113,6818348,12509156,13311235,7512847,6809,1961,1349,1321,1457,1266,1416,1022,939,0,926,3446,2819,1498,81,4153,3868,95,1730,1185,2220,1607,1184,3
8,2021,1,D,발달상권,2120184,강남구 개포동,포이사거리(삼호물산),CS100010,커피-음료,1167331619,160392,90,10,16,20,20,18,16,6,4,1,24,44,20,10,1,55,45,0,29,31,20,12,9,1046729479,120602140,185465521,230311989,231612950,210011954,189327065,71580171,49021969,6008791,284876640,515388975,233172129,111411529,16473555,390731757,320324544,1420524,203621727,221547815,141984996,82363113,60118129,141834,18558,27630,29584,31711,26039,26870,10122,8436,827,45394,63463,32450,15930,2328,69356,52521,265,38430,39610,23940,13778,5852,79
9,2021,2,D,발달상권,2120184,강남구 개포동,포이사거리(삼호물산),CS100010,커피-음료,1428504444,205707,90,10,17,19,17,19,18,6,5,1,24,43,19,10,3,56,44,1,27,34,22,12,5,1283580967,144923477,241203982,266629213,247169891,267220227,261357654,81342317,63581160,13267355,342927106,616165462,272811617,147099052,36233852,508396648,397666891,5716575,245372665,303965596,195166289,109857509,45984914,182131,23576,35540,38131,34435,36973,37052,12905,10671,2067,60533,76656,40319,20994,5138,92173,65579,882,45581,53457,31280,18691,7857,82
