,강남구,보증금,월세
0,강남구 청담동,10000,850
1,강남구 청담동,30000,1900
2,강남구 청담동,10000,550
3,강남구 청담동,20000,1800
4,강남구 청담동,10300,1030
5,강남구 청담동,20000,1800
6,강남구 청담동,21755,1813
7,강남구 청담동,15000,1000
8,강남구 청담동,20000,860
9,강남구 청담동,50000,3000
10,강남구 청담동,5000,300
11,강남구 청담동,15000,1300
12,강남구 청담동,6000,500
13,강남구 청담동,20000,1600
14,강남구 청담동,10000,350
15,강남구 청담동,5000,310
16,강남구 청담동,10000,850
17,강남구 청담동,1500,150
18,강남구 청담동,15000,800
19,강남구 청담동,20000,1600
20,강남구 청담동,3000,230
21,강남구 청담동,25000,1500
22,강남구 청담동,10000,650
23,강남구 청담동,25000,1500
24,강남구 청담동,8000,350
25,강남구 청담동,50000,4500
26,강남구 청담동,10000,850
27,강남구 청담동,8900,735
28,강남구 청담동,100000,5000
29,강남구 청담동,10000,650
30,강남구 청담동,20000,860
31,강남구 청담동,15000,630
32,강남구 청담동,20000,2000
33,강남구 청담동,10000,450
34,강남구 청담동,15000,2100
35,강남구 청담동,30000,1500
36,강남구 청담동,18000,1800
37,강남구 청담동,100000,13000
38,강남구 청담동,20000,1200
39,강남구 청담동,20000,1800
40,강남구 청담동,50000,700
41,강남구 청담동,10000,500
42,강남구 청담동,5000,300
43,강남구 청담동,10000,650
44,강남구 청담동,50000,4500
45,강남구 청담동,8000,450
46,강남구 청담동,19179,1598
47,강남구 청담동,5000,550
48,강남구 청담동,15000,600
49,강남구 청담동,12800,830
50,강남구 청담동,10000,850
51,강남구 청담동,7000,500
52,강남구 청담동,30000,2200
53,강남구 청담동,10000,750
54,강남구 청담동,30000,1500
55,강남구 청담동,20000,1800
56,강남구 청담동,10000,750
57,강남구 청담동,5000,380
58,강남구 청담동,10000,450
59,강남구 청담동,100000,5000
60,강남구 청담동,8000,450
61,강남구 청담동,15000,2100
62,강남구 청담동,5000,310
63,강남구 청담동,5000,350
64,강남구 청담동,15000,630
65,강남구 청담동,60000,4500
66,강남구 청담동,8820,552
67,강남구 청담동,5000,300
68,강남구 청담동,15000,1200
69,강남구 청담동,5000,350
70,강남구 청담동,40000,2600
71,강남구 청담동,5000,250
72,강남구 청담동,5000,280
73,강남구 청담동,5000,250
74,강남구 청담동,3000,190
75,강남구 청담동,10000,800
76,강남구 청담동,3000,300
77,강남구 청담동,50000,700
78,강남구 청담동,20000,1100
79,강남구 청담동,10000,850
80,강남구 청담동,25000,1500
81,강남구 청담동,6000,216
82,강남구 청담동,30000,700
83,강남구 청담동,10000,680
84,강남구 청담동,240000,24000
85,강남구 청담동,90000,5500
86,강남구 청담동,3000,400
87,강남구 청담동,50000,700
88,강남구 청담동,240000,24000
89,강남구 청담동,100000,8000
90,강남구 청담동,10000,850
91,강남구 청담동,20000,1600
92,강남구 청담동,10000,850
93,강남구 청담동,10000,450
94,강남구 청담동,10000,850
95,강남구 청담동,40000,2600
96,강남구 청담동,2000,125
97,강남구 청담동,3000,300
98,강남구 청담동,20000,1200
99,강남구 청담동,30000,1433
100,강남구 청담동,20000,840
101,강남구 청담동,2000,200
102,강남구 청담동,30000,700
103,강남구 청담동,20600,2060
104,강남구 청담동,10000,700
105,강남구 청담동,2000,300
106,강남구 청담동,41400,4140
107,강남구 청담동,15000,700
108,강남구 청담동,10000,450
109,강남구 청담동,3000,250
110,강남구 청담동,2000,300
111,강남구 청담동,30000,2100
112,강남구 청담동,90000,5500
113,강남구 청담동,50000,7500
114,강남구 청담동,30000,700
115,강남구 청담동,30000,1300
116,강남구 청담동,10000,850
117,강남구 청담동,40000,2200
118,강남구 청담동,100000,5000
119,강남구 청담동,10000,600
120,강남구 청담동,10000,600
121,강남구 청담동,10000,500
122,강남구 청담동,3000,250
123,강남구 청담동,3000,290
124,강남구 청담동,3000,300
125,강남구 청담동,20000,1600
126,강남구 청담동,3000,230
127,강남구 청담동,8000,380
128,강남구 청담동,2000,130
129,강남구 청담동,10000,650
130,강남구 청담동,5000,580
131,강남구 청담동,10000,400
132,강남구 청담동,18000,1800
133,강남구 청담동,8000,350
134,강남구 청담동,10000,450
135,강남구 청담동,30000,3000
136,강남구 청담동,10000,720
137,강남구 청담동,3000,300
138,강남구 청담동,3000,250
139,강남구 청담동,25000,1500
140,강남구 대치동,12000,750
141,강남구 대치동,36000,1800
142,강남구 대치동,1000,100
143,강남구 대치동,1500,145
144,강남구 대치동,5000,350
145,강남구 대치동,5000,350
146,강남구 대치동,3000,140
147,강남구 대치동,1500,150
148,강남구 대치동,1500,150
149,강남구 대치동,2000,140
150,강남구 대치동,1500,180
151,강남구 대치동,5000,300
152,강남구 대치동,2000,270
153,강남구 대치동,4000,200
154,강남구 대치동,15000,600
155,강남구 대치동,2000,165
156,강남구 대치동,2000,130
157,강남구 대치동,3000,140
158,강남구 대치동,3000,150
159,강남구 대치동,3000,140
160,강남구 대치동,3000,288
161,강남구 대치동,25000,1300
162,강남구 대치동,6000,230
163,강남구 대치동,3000,140
164,강남구 대치동,7000,250
165,강남구 대치동,7000,400
166,강남구 대치동,25000,1300
167,강남구 대치동,3000,140
168,강남구 대치동,5000,450
169,강남구 대치동,5000,350
170,강남구 대치동,3000,140
171,강남구 대치동,2000,270
172,강남구 대치동,1500,150
173,강남구 대치동,1500,145
174,강남구 대치동,47500,2350
175,강남구 대치동,4000,400
176,강남구 대치동,35000,1600
177,강남구 대치동,5000,380
178,강남구 대치동,5000,400
179,강남구 대치동,5000,400
180,강남구 대치동,4000,500
181,강남구 대치동,5000,500
182,강남구 대치동,3000,200
183,강남구 대치동,10000,670
184,강남구 대치동,4000,180
185,강남구 대치동,5000,490
186,강남구 대치동,20000,1300
187,강남구 대치동,3000,200
188,강남구 대치동,20000,1000
189,강남구 대치동,24000,1500
190,강남구 대치동,3000,210
191,강남구 대치동,3000,260
192,강남구 대치동,12000,600
193,강남구 대치동,10000,580
194,강남구 대치동,4000,250
195,강남구 대치동,8000,450
196,강남구 대치동,1500,170
197,강남구 대치동,6000,300
198,강남구 대치동,2000,220
199,강남구 대치동,5000,250
200,강남구 대치동,3000,350
201,강남구 대치동,20000,1200
202,강남구 대치동,5000,350
203,강남구 대치동,2000,200
204,강남구 대치동,12000,610
205,강남구 대치동,3000,200
206,강남구 대치동,10000,800
207,강남구 대치동,8000,590
208,강남구 대치동,5000,258
209,강남구 대치동,2000,135
210,강남구 대치동,3000,200
211,강남구 대치동,4500,580
212,강남구 대치동,7000,500
213,강남구 대치동,10000,800
214,강남구 대치동,5000,250
215,강남구 대치동,6000,350
216,강남구 대치동,10000,470
217,강남구 대치동,6000,330
218,강남구 대치동,20000,1000
219,강남구 대치동,4000,250
220,강남구 대치동,10000,450
221,강남구 대치동,9500,940
222,강남구 대치동,3000,300
223,강남구 대치동,15000,440
224,강남구 대치동,15000,750
225,강남구 대치동,5000,410
226,강남구 대치동,10000,880
227,강남구 대치동,10000,720
228,강남구 대치동,6000,350
229,강남구 대치동,13000,900
230,강남구 대치동,3000,363
231,강남구 대치동,10000,650
232,강남구 대치동,4000,400
233,강남구 대치동,6000,380
234,강남구 대치동,2000,200
235,강남구 대치동,10000,600
236,강남구 대치동,5000,230
237,강남구 대치동,5000,430
238,강남구 대치동,5000,398
239,강남구 대치동,3000,400
240,강남구 대치동,5000,320
241,강남구 대치동,6000,530
242,강남구 대치동,4000,350
243,강남구 대치동,5000,470
244,강남구 대치동,15000,2000
245,강남구 대치동,10000,500
246,강남구 대치동,40000,1700
247,강남구 대치동,3500,330
248,강남구 대치동,4800,290
249,강남구 대치동,15000,950
250,강남구 대치동,35000,1600
251,강남구 대치동,10000,720
252,강남구 대치동,5000,250
253,강남구 대치동,2000,270
254,강남구 대치동,2000,200
255,강남구 대치동,15000,800
256,강남구 대치동,3000,275
257,강남구 대치동,2000,200
258,강남구 대치동,3000,260
259,강남구 대치동,3000,260
260,강남구 대치동,10000,530
261,강남구 대치동,4000,200
262,강남구 대치동,3000,175
263,강남구 대치동,5000,300
264,강남구 대치동,2500,180
265,강남구 대치동,5000,470
266,강남구 대치동,3000,350
267,강남구 대치동,2000,270
268,강남구 대치동,8000,600
269,강남구 대치동,10000,560
270,강남구 대치동,19000,900
271,강남구 대치동,5000,400
272,강남구 대치동,6000,380
273,강남구 대치동,4000,360
274,강남구 대치동,5000,250
275,강남구 대치동,3500,330
276,강남구 대치동,7000,400
277,강남구 대치동,24000,1500
278,강남구 대치동,3000,200
279,강남구 대치동,12000,600
280,강남구 대치동,2000,125
281,강남구 대치동,3000,175
282,강남구 대치동,3000,210
283,강남구 대치동,3000,180
284,강남구 대치동,2000,190
285,강남구 대치동,8000,350
286,강남구 대치동,10000,1100
287,강남구 대치동,4000,390
288,강남구 대치동,5000,310
289,강남구 대치동,4000,250
290,강남구 대치동,5000,350
291,강남구 대치동,36000,1790
292,강남구 대치동,8000,440
293,강남구 대치동,3000,215
294,강남구 대치동,36000,1800
295,강남구 대치동,7500,600
296,강남구 대치동,6000,380
297,강남구 대치동,3000,300
298,강남구 대치동,3000,270
299,강남구 대치동,4000,330
300,강남구 대치동,6000,325
301,강남구 대치동,6000,380
302,강남구 대치동,3000,260
303,강남구 대치동,2500,180
304,강남구 대치동,7000,410
305,강남구 대치동,24000,1200
306,강남구 대치동,20000,1200
307,강남구 대치동,5000,400
308,강남구 대치동,500,50
309,강남구 대치동,20000,2000
310,강남구 대치동,1000,135
311,강남구 대치동,10000,500
312,강남구 대치동,10000,750
313,강남구 대치동,6000,380
314,강남구 대치동,3000,200
315,강남구 대치동,5000,340
316,강남구 대치동,8000,590
317,강남구 대치동,2500,220
318,강남구 대치동,6000,380
319,강남구 대치동,3000,200
320,강남구 대치동,30000,2600
321,강남구 대치동,5000,300
322,강남구 대치동,2000,138
323,강남구 대치동,140000,7900
324,강남구 대치동,25000,1300
325,강남구 대치동,25000,1300
326,강남구 대치동,10000,1000
327,강남구 대치동,3500,250
328,강남구 대치동,7000,500
329,강남구 대치동,24000,1200
330,강남구 대치동,20000,900
331,강남구 대치동,3000,200
332,강남구 대치동,5000,300
333,강남구 대치동,12000,600
334,강남구 대치동,2000,251
335,강남구 대치동,3000,250
336,강남구 대치동,2000,251
337,강남구 대치동,10000,650
338,강남구 대치동,3000,200
339,강남구 대치동,2000,160
340,강남구 대치동,5000,350
341,강남구 대치동,1500,145
342,강남구 대치동,5000,430
343,강남구 대치동,3000,200
344,강남구 대치동,12000,600
345,강남구 대치동,15000,700
346,강남구 대치동,6000,300
347,강남구 대치동,20000,1666
348,강남구 대치동,3000,330
349,강남구 대치동,5000,450
350,강남구 대치동,3000,250
351,강남구 대치동,7000,500
352,강남구 대치동,2000,200
353,강남구 대치동,1000,80
354,강남구 대치동,6000,600
355,강남구 대치동,5000,360
356,강남구 대치동,5000,490
357,강남구 대치동,2000,200
358,강남구 대치동,2000,270
359,강남구 대치동,5000,350
360,강남구 대치동,20000,1000
361,강남구 대치동,3200,160
362,강남구 대치동,10000,700
363,강남구 대치동,3000,250
364,강남구 대치동,5000,300
365,강남구 대치동,3000,330
366,강남구 대치동,3000,240
367,강남구 대치동,10000,350
368,강남구 대치동,10000,350
369,강남구 대치동,7000,400
370,강남구 대치동,6000,380
371,강남구 대치동,5000,330
372,강남구 대치동,5000,350
373,강남구 대치동,4000,300
374,강남구 대치동,5000,235
375,강남구 대치동,2000,190
376,강남구 대치동,700,60
377,강남구 대치동,4000,430
378,강남구 대치동,3000,288
379,강남구 대치동,10000,400
380,강남구 대치동,1000,50
381,강남구 대치동,3000,393
382,강남구 대치동,3500,320
383,강남구 대치동,6000,380
384,강남구 대치동,10000,500
385,강남구 대치동,1000,100
386,강남구 대치동,4000,284
387,강남구 대치동,15000,950
388,강남구 대치동,19000,900
389,강남구 대치동,15000,800
390,강남구 대치동,10000,750
391,강남구 대치동,6000,530
392,강남구 대치동,3000,150
393,강남구 대치동,4000,200
394,강남구 대치동,2500,310
395,강남구 대치동,10000,800
396,강남구 대치동,2000,280
397,강남구 대치동,6000,450
398,강남구 대치동,3500,250
399,강남구 대치동,5000,470
400,강남구 대치동,5000,430
401,강남구 대치동,4000,449
402,강남구 대치동,5000,400
403,강남구 대치동,2000,270
404,강남구 대치동,5000,350
405,강남구 대치동,10000,952
406,강남구 대치동,2000,270
407,강남구 대치동,10000,450
408,강남구 대치동,2000,100
409,강남구 대치동,2000,270
410,강남구 대치동,4000,200
411,강남구 대치동,7000,370
412,강남구 대치동,2000,270
413,강남구 대치동,2500,220
414,강남구 대치동,10000,550
415,강남구 대치동,1500,170
416,강남구 대치동,6000,350
417,강남구 대치동,5000,280
418,강남구 대치동,2000,280
419,강남구 대치동,7000,400
420,강남구 대치동,2000,150
421,강남구 대치동,3000,150
422,강남구 대치동,25000,1300
423,강남구 대치동,8000,350
424,강남구 대치동,7000,400
425,강남구 대치동,10000,650
